lyrics,Emotion
"আমার সবটুকু ভালোবাসা তোমায় ঘিরে
আমার অপরাধ ছিল যতটুকু তোমার কাছে
তুমি ক্ষমা করে দিও আমায়",sadness
"এই পদ্মা এই মেঘনা এই যমুনা সুরমা নদী তটে  
আমার রাখাল মন গান গেয়ে যায়  
এই আমার দেশ এই আমার প্রেম।  
আনন্দ বেদনায় মিলনও বিরহ সংকটে।",happiness
"
এই পদ্মা এই মেঘনা"" গানের পুরো লিরিক্স নিচে দেওয়া হলো:
আমার রাখাল মন, গান গেয়ে যায়,
এই আমার দেশ, এই আমার প্রেম।",nostalgia
"আনন্দ বেদনায়, মিলনও বিরহ সংকটে,
কত আনন্দ বেদনায়, মিলনও বিরহ সংকটে।
এই পদ্মা, এই মেঘনা,
এই যমুনা সুরমা নদী তটে। ",nostalgia
"আমার ভিতরে বাহিরে
অন্তরে অন্তরে
আছো তুমি হৃদয় জুড়ে
আমার, ভিতরে বাহিরে
অন্তরে অন্তরে
আছো তুমি,হৃদয় জুড়ে ৷",happiness
"পুষে রাখে যেমন ঝিনুক,
খোলসের আবরণে মুক্তোর সুখ
পুষে রাখে যেমন ঝিনুক,
খোলসের আবরণে মুক্তোর সুখ ।",nostalgia
"তেমনি তোমার গভীর ছোয়া,
তেমনি তোমার গভীর ছোয়া,
ভিতরের এই বন্দরে ৷",nostalgia
"ঢেকে রাখে যেমন কুসুম,
পাপড়ির আবডালে ফসলের ধুম
ঢেকে রাখে যেমন কুসুম,
পাপড়ির আবডালে ফসলের ধুম",happiness
"তেমনি তোমার নিবিড় চলা,
তেমনি তোমার নিবিড় চলা,
মরমের মূল পথ ধরে ৷",happiness
"তুমি এসে ভরে দাও হৃদয় আমার
সবুজ ঘাসে হাঁটার মতো লাগে ভালোবাসা
জীবনের পথে হাসি ফোটে বারবার
আশার আলোয় জ্বলে অন্তর",happiness
"অন্তর মোর ব্যথায় ভেঙে গেছে
কোনো আশা নেই, কোনো স্বপ্ন নেই
তবুও তোমার কথা মনে পড়ে যায়
এই ব্যথা দহন যেনো থামেনা",sadness
"বল কি করে বেঁচে থাকব?
আমার মনের ভেতরটা মরে গেছে কত রাত ধরে
বিদ্রোহী রণসঙ্গীত বাজে
আমার গীটারের তাঁরে
মরে যাওয়া মনুষত্ব থেকে
প্রতিরোধ ওঠে জেগে।",anger
"আবার ফিরে পাই পুরোনো স্মৃতি নতুন গানে
স্মৃতির পাতাতে দেখি তোমার ছবি
কেটে গেছে যে কত মুহূর্ত তোমায় ভেবে",nostalgia
"আজ দুজনার দুটি পথ ওগো
দুটি দিকে গেছে বেঁকে
আজ দুজনার দুটি পথ ওগো
দুটি দিকে গেছে বেঁকে",nostalgia
"তোমার ও পথ
আলোয় ভরানো জানি
আমার এ পথ
আঁধারে আছে যে ঢেকে
আজ দুজনার দুটি পথ ওগো
দুটি দিকে গেছে বেঁকে",nostalgia
"সেই শপথের মালা খুলে
আমারে গেছো যে ভুলে
সেই শপথের মালা খুলে
আমারে গেছো যে ভুলে",sadness
"তোমারেই তবু দেখি বারে বারে
আজ শুধু দূরে থেকে
আমার এ পথ
আঁধারে আছে যে ঢেকে
আজ দুজনার দুটি পথ ওগো
দুটি দিকে গেছে বেঁকে",sadness
"আমার এ কূল ছাড়ি
তব বিস্মরণের খেয়া ভরা পালে
অকূলে দিয়েছি পাড়ি.",nostalgia
"আমার এ কূল ছাড়ি
তব বিস্মরণের খেয়া ভরা পালে
অকূলে দিয়েছি পাড়ি.",nostalgia
"আজ যত বার দ্বীপ জ্বালি
আলো নয় পাই কালি
আজ যত বার দ্বীপ জ্বালি
আলো নয় পাই কালি",sadness
"এ বেদনা তবু সহি হাসিমুখে
নিজেকে লুকায়ে রেখে
আমার এ পথ
আঁধারে আছে যে ঢেকে",sadness
"আমায় প্রশ্ন করে নীল ধ্রুবতারা
আর কতো কাল আমি
রবো দিশাহারা, রবো দিশাহারা
জবাব কিছুই তার দিতে পারি নাই শুধু
পথ খুঁজে কেটে গেল",nostalgia
"এ জীবন সারা, এ জীবন সারা
আমায় প্রশ্ন করে নীল ধ্রুবতারা
আর কতো কাল আমি
রবো দিশাহারা, রবো দিশাহারা",nostalgia
"কারা যেন ভালবেসে আলো জ্বেলেছিলো
সূর্যের আলো তাই নিভে গিয়েছিলো
কারা যেন ভালবেসে আলো জ্বেলেছিলো
সূর্যের আলো তাই নিভে গিয়েছিলো",sadness
"নিজের ছায়ার পিছে ঘুরে ঘুরে মরি মিছে
একদিন চেয়ে দেখি
আমি তুমি হারা, আমি তুমি হারা",nostalgia
"আমায় প্রশ্ন করে নীল ধ্রুবতারা
আর কতো কাল আমি
রবো দিশাহারা, রবো দিশাহারা",sadness
"নিঃস্ব করেছ আমায়
কি নিঠুর ছলনায়
তুমি হীনা এ হৃদয় আমার
একাকী অসহায়",sadness
"পেয়ে হারানোর বেদনায়
পুড়ে চলেছি সারাক্ষণ
কেন তুমি মিছে মায়ায়
বেঁধেছিলে আমায় তখন
ফিরিয়ে দাও",sadness
"আমার-ই প্রেম তুমি ফিরিয়ে দাও
ফিরিয়ে দাও
হারানো দিনগুলো এভাবে চলে যেওনা",nostalgia
"লেগেছে বাঙ্গালির ঘরে ঘরে এ কি মাতন দোলা,..
 জেগেছে সুরেরই তালে তালে হৃদয় মাতন দোলা,..
 বছর ঘুরে এলো, আর এক প্রভাতি-
 ফিরে এলো, সুরের মঞ্জুরী,
 পলাশ শিমুল গাছে লেগেছে আগুন,
 এ বুঝি বৈশাখ এলেই শুনি..",happiness
"মেলায় যাইরে, মেলায় যাইরে
 মেলায় যাইরে.. মেলায় যাইরে।
 বাসন্তী রঙ শাড়ি পরে ললনারা হেটে যায়,",happiness
"রমনা বটমূলে, গান থেমে গেলে
 প্রখর রোদে, এ যেন মিছিল চলে,
 ঢাকার রাজপথে রঙের মেলায়,
 এ বুঝি বৈশাখ এলো বলেই...",nostalgia
"বছর ঘুরে এল, আর এক প্রভাতি-
 ফিরে এলো, সুরের মঞ্জুরী,
 পলাশ শিমুল গাছে লেগেছে আগুন..
 এ বুঝি বৈশাখ এলেই শুনি....
 মেলায় যাইরে, মেলায় যাইরে,",happiness
"বন্ধু, ফিরে এসো সেই গলির মোড়ে রেস্তোরাঁয়
 জানি তুমি ফিরে আসবে আমাদের চিরচেনা আঙিনায়
 বন্ধু, ফিরে এসো সেই গলির মোড়ে রেস্তোরাঁয়
 জানি তুমি ফিরে আসবে আমাদের চিরচেনা আঙিনায়",nostalgia
"অনেক কথা জমা বুকে, ব্যথা আছে আরও
 শুনবে তুমি এই আশাতে যদি সময় করতে পারো
 অনেক কথা জমা বুকে, ব্যথা আছে আরও
 শুনবে তুমি এই আশাতে যদি সময় করতে পারো
 নতুন করে ভালোবেসো",sadness
"বন্ধু, ফিরে এসো সেই গলির মোড়ে রেস্তোরাঁয়
 জানি তুমি ফিরে আসবে আমাদের চিরচেনা আঙিনায়",nostalgia
"আবার গানে মুখরিত হোক পুরাতন ঠিকানা
 উৎসবে মাতুক ইট-পাথর-কাঠ ফিরে পেয়ে আপনজনা
 আবার গানে মুখরিত হোক পুরাতন ঠিকানা
 উৎসবে মাতুক ইট-পাথর-কাঠ ফিরে পেয়ে আপনজনা
 প্রাণ খুলে তুমি হেসো",happiness
"উড়ে যায় পাখিটা দূরে বহূ দূরে
 যেখানে নেই আমার ছায়া কোনখানে
 পিছন সে ফেরে না কিসের যে ভয়ে
 হারিয়ে যাছে সে যে ঐ দূর নীল আকাশে",sadness
"বোকারই মত আমি যে শুধু
 বসে থাকি সারা জীবন ধরে
 খালি খাচাঁটায় পরছে ধূলো
 গাইছি তবু একই সুরের গান এখনো",nostalgia
"বোকা মানুষটা কাচাঁ পাকা চুলে
 তবুও হাসে তবুও যে হাসে",nostalgia
"নিঝুম রাতে ছাদের কোনে
 বসে থাকি আমি
 মনের মাঝে ঘুরতে থাকে
 সুখের সব স্মৃতি",nostalgia
"আকাশ ভেঙ্গে পড়ছে ছাদে
 মিষ্টি চাঁদের আলো
 জোছনাটা দেখতে যেয়ে
 সবই লাগে ভালো",happiness
"হে নির্বোধ তুমি যে এখনো একটি শিশু
 ছেড়া কাঁথায় ক্ষুধার্ত
 শরীরে ভালো লাগে না কিছু
 ভরা পেটে নরম বিছানায় স্বপ্ন দেখো তুমি
 পূর্ণিমার চাঁদটা আমার
 কাছে ঝলসানো এক রুটি",sadness
"বুকের মাঝে লুকিয়ে আছে
 আমার ভালোবাসা
 ছড়িয়ে দেবো আকাশটাতে
 নতুন এক আশায়",happiness
"কোন একদিন আমার সামনে
 এসে দাড়াবে সে
 বলবে সে ভালোবাসি
 মুচকি হেসে",nostalgia
"তোমার এই কথা শুনে
 যে মোর হাসি পায়
 কি দেখেছো তুমি নির্বোধ
 এই ভালোবাসায়
 ভালোবাসা যে আসলে প্লাস্টিকের ফুল
 বর্ন আছে গন্ধ নেই করো না এ ভুল",anger
"আমার আছে সুরের জগৎ
 হারাই আমি সেথায়
 নতুন গান নতুন সুর",happiness
"আমার গানের খাতায়
 সুর দিয়েই আমার জগৎ
 আমি ভরিয়ে রাখি
 দুঃখ আর অস্থিরতা
 দুর করে ফেলি",sadness
"সুরের জগৎ নিয়ে অহংকার নির্বোধ তুমি
 এ জগতেও আছে নোংরামি আছে রাজনীতি
 মনের ভেতর অনেক কথা বলতে পারিনি
 নেতাদের এই নোংরামিতে হারিয়ে গেছি আমি নির্বোধ",anger
"যখন চাঁদ ঘুমিয়ে পরে
 আধাঁর আকাশ টা কে ফেলে
 শুধু আমি জেগে থাকি তোমার ছবি বুকে নিয়ে
 চেয়ে থাকি আকাশের তারায়
 মিলিয়ে যায় সব যেনো কোথায়
 জানি এই রাত শেষে ফিরবে না তুমি আর",sadness
"তবুও কেন যে আসে মনের মাঝে তোমার ছবি
 কল্পনাতে কেন যে তোমার হাসি শুনি",sadness
"মেঘের দেশে কি এখনও তুমি, হারাও আনমনে?
 কবিতা কি লেখো এখনো আমায় ভেবে?
 বৃষ্টি নামে যখন তোমার এই শরীরে
 আমার ছোঁয়া কি পাও বৃষ্টির সাথে আনমনে?",sadness
"বৃষ্টি ভেজা এই শরীরে
 কান্না দেখে না কেউ আমার
 অন্ধকার এই ঘরে ডাকি না কাওকে যে
 পড়িনা আর সেই কবিতা
 দেখিনা যে আর জোছনা
 অনুভূতিহীন দেয়ালে বন্দী আমি যেন একা",sadness
"ভেঙ্গে যাক তোমার আমার মাঝের ঐ দেয়ালটা
 এই যে দেখো দাড়িয়ে আমি তোমার হাত ধরবো বলে",nostalgia
"নিঝুম রাতে ছাদের কোনে
 বসে থাকি আমি
 মনের মাঝে ঘুরতে থাকে
 সুখের সব স্মৃতি",nostalgia
"চাইতে পারো আবার সেই জোছনা
 ঘরের সিলিংয়ে সন্ধ্যাতারাটা
 চাইতে পারো সারারাত আর সারাদিন
 হবে না যে কখনো আর লোডশেডিং।",nostalgia
"চাইতে পারো আমার ঘাড়ে পা রেখে
 আকাশটা ছোয়ার স্বপ্ন দেখতে
 চাইতে পারো শুনতে নতুন এক গান
 করব না যেখানে তোমায় আর অপমান।",happiness
"এক মুঠো গোলাপ আর ঐ নীল আকাশ
 আকাশের ঐ চাঁদ অথবা এই রাত,
 কান্না ভেজা চোখ, অথবা মিষ্টি হাসি
 যতই দেখাও আমাকে পাবেনা কিছুই তুমি",sadness
"তোমার জন্য নয় আমার কোন কিছুই,
 বলেছিলাম অনেক আগে ভুলে গেছ কি!",sadness
"চাইতে পারো তুমি জি-সিরিজ থেকে
 ফুয়াদ ফিচারিং আলবাম ছাড়তে
 চাইতে পারো চেষ্টা করে দেখতে
 কে আছে আমার ফেসবুক ফ্রেন্ডলিস্টে।",happiness
"চাইতে পারো তুমি হয়ে যেতে আজকে
 এফ.এম চ্যানেলের হিট কোন আরজে(Rj)
 চাইতে পারো নতুন এক ডিও স্প্রে
 মনের দূর্গন্ধটা দূর করতে।",happiness
"এক মুঠো গোলাপ আর ঐ নীল আকাশ
 আকাশের ঐ চাঁদ অথবা এই রাত
 কান্না ভেজা চোখ অথবা মিষ্টি হাসি
 যতই দেখাও আমাকে পাবেনা কিছুই তুমি।",nostalgia
"এক মুঠো গোলাপ আর ঐ নীল আকাশ
 আকাশের ঐ চাঁদ অথবা এই রাত
 কান্না ভেজা চোখ অথবা মিষ্টি হাসি
 যতই দেখাও আমাকে পাবেনা কিছুই তুমি।",nostalgia
"আবার ফিরে পাই পুরোনো স্মৃতি
 নতুন গানে
 স্মৃতির পাতাতে
 দেখি তোমার ছবি
 কেটে গেছে যে কত মুহূর্ত",nostalgia
"তোমায় ভেবে
 ঝাপসা এই চোখে
 তোমার ছবি যে ভাসে
 মেঘের ওই দেশে কি হারাও
 আনমনে?",nostalgia
"বৃষ্টির ওই ছোঁয়াতে কি আমায় খোঁজো
 এখনও?
 আবার খুঁজে যাই
 তোমার সেই হাসি আনমনে
 কত রাত নির্ঘুম কাটে",nostalgia
"তোমায় ভেবে
 আকাশে যখন মেঘের ঘনঘটা
 তাকিয়ে থাকি আমি
 হয়তো বৃষ্টি আজ
 ছোঁবে তোমার শরীর
 মেঘের ওই দেশে কি হারাও
 আনমনে?",nostalgia
"বৃষ্টির ওই ছোঁয়াতে কি আমায় খোঁজো
 এখনও?
 মেঘের ওই দেশে কি হারাও
 আনমনে?
 বৃষ্টির ওই ছোঁয়াতে কি আমায় খোঁজো
 এখনও?
 মেঘের ওই দেশে কি হারাও
 আনমনে?
 বৃষ্টির ওই ছোঁয়াতে
 কি আমায় খোঁজো?",nostalgia
"যদি কোনো দিন হঠাৎ করে পড়ে মনে
 আমার লেখা গানগুলো যা ছিল তোমার জন্যে
 যদি ভুলের বশে শুনতে ইচ্ছে করে
 আমার গাওয়া গানগুলো যা ছিল তোমায় নিয়ে",nostalgia
"নিঝুম রাতে যখন পৃথিবী ঘুমিয়ে
 তুমি মনের ভেতর শুনো গান চুপটি করে
 কেউ জানবে না যে ঘুমন্ত শহরে
 তুমি ভাবছো বসে আমার কথা প্রতিটি মুহূর্তে",nostalgia
"আকাশের তারা হয়ে দেবো তোমায় আলো
 যখন চারিদিক অমাবস্যায় কালো
 যদি মনের দু'চোখ বেয়ে আসে চোখের জল
 মুছে দেবো শুধু স্মৃতি হয়ে মনের কষ্ট সব",happiness
"আসবো ফিরে
 তোমার কাছে
 চোখের ঐ জল
 মুছে দিতে",nostalgia
"অদ্ভুত সেই ছেলেটি, আবার শুরু করলো হাঁটা
 কালো লম্বা এলোমেলো চুলে, চোখ দুটো তার ঢাকা",nostalgia
"হাতে তার অ্যাকুস্টিক, পকেটে হারমোনিকা
 কষ্টে ভরা এ জীবনের, বহু গান যে তার শোনা।",nostalgia
"একলা ভীষণ অন্ধকারে
 মনের ঘরে ওলটপালট
 মেঘ করেছে আকাশজুড়ে",nostalgia
"মানুষ যারা দালান কোঠায়
 মানুষ যারা গৃহহীন
 সবার জন্য আমার এ গান",happiness
"আমার মাঝেই হয় বিলীন
 পথ হারা পথ পায় না খুঁজে
 তোমার আমার ঝাপসা চোখ
 থামছে নাতো বৃষ্টিটা আজ
 যাচ্ছে ভেসে নিত্য শোক",sadness
"স্বপ্ন ভাঙে আমার তোমার
 একলা ঘরে চার দেয়ালে
 স্বপ্নগুলো ঝাপসা ভীষণ
 কেঁদে মরে অন্তারালে",sadness
"হাতের মাঝে হাত থাকে তার
 মেটে না মন চাওয়ার পাওয়ার
 তবু দেখাই আকাশ পানে
 ভুল শব্দের সস্তা গানে",nostalgia
"আকাশে আমি চেয়ে থাকি
 শুন্যে আমার আঁকা ঝোঁকা
 ঘরের ভেতর অন্ধকারে
 শরীর জুড়ে ঘুন পোকা",sadness
"দুঃখ শোকের শহর তুলি
 গান ধরে চেপে অন্তরে
 মুখোশ মিছিল ফিরছে ঘরে
 চোখ ভিজে রয় মুখোশে",sadness
"অন্ধকারের দেয়াল ঘরে
 যখন দুঃখ দাঁড়ায় ওঠে
 বদ্ধ ঘরের শব্দগুলো
 নিজের সাথে একলা হাটে",sadness
"শব্দ করে নির্জনতায়
 শব্দ করে কোলাহলে
 আমার এ গান শুনবে কেবল
 পথ হারিয়ে একলা হবে",nostalgia
"যখন তুমি পথ হারাবে
 আলো ছায়ায় অন্ধকারে
 বৃষ্টিটা হবে তোমার
 মনের ভেতর একলা ঘরে",sadness
"পথ হারা পথ অন্ধকারে
 একলা হাঁটে খালি পায়ে
 অনেক দূরের স্বপ্ন পুড়ে
 মেঘের আকাশ ভেসে যায়",sadness
"মেঘের মতন অনেকতা দূর
 ভাসবে দুঃখ সুখের ঘুড়ি
 থাকবো পরে অন্ধকারে
 আলো ছায়ায় হামাগুড়ি",nostalgia
"পথ হারিয়ে আবার যখন
 ফিরবে পথে কোলাহলের
 আমার এ গান পথ দেখাবে
 নতুন দিনের মিছিলে",happiness
"বৃষ্টি নেমেছে আজ আকাশ ভেঙ্গে
 হাটছি আমি মেঠো পথে
 মনের ক্যানভাসে ভাসছে তোমার ছবি
 বহুদিন তোমায় দেখিনা যে",nostalgia
"তোমায় নিয়ে কত স্বপ্ন আজ
 কোথাও হারায়
 পুরোনো গানটার সুর আজ মোরে কাঁদায়",nostalgia
"তুমি তো দিয়েছিলে মোরে কৃষ্ণচূঁড়া ফুল
 আমি তো বসেছিলাম নিয়ে সেই গানের সুর",nostalgia
"তুমি তো দিয়েছিলে মোরে কৃষ্ণচূঁড়া ফুল
 চলে গেছ কোথায় আমায় ফেলে বহুদূর… বহুদূর…
 সাদাকালো এ জীবনের মাঝে রঙ্গীন ছিলে তুমি শুধু
 তোমায় নিয়ে লেখা কত কবিতায়।",nostalgia
"চাইতে পারো জোছনা কুয়াশা ঢাকা
 চাইতে পারো ঘরের ceiling-এ সন্ধ্যাতারা
 একমুঠো গোলাপ আর ঐ নীল আকাশ
 আকাশের ঐ চাঁদ অথবা এই রাত",happiness
"চাইতে পারো আমার net এর password
 চাইতে পারো শীতের রাতে আমার sweater
 একমুঠো গোলাপ আর ঐ নীল আকাশ
 আকাশের ঐ চাঁদ অথবা এই রাত",happiness
"যত খুশি ভাবো তুমি, , দিবাস্বপ্ন দেখো
 পাবে না তুমি কোনো কিছুই মোর কাছ থেকে
 মিষ্টি হাসি অথবা কান্না দেখাও যতই
 তোমার জন্য নয় আমার কোনো কিছুই",anger
"চাইতে পারো আমার লেখা সবগুলো গান
 চাইতে পারো one day match-এ সাড়ে ৪০০ রান
 একমুঠো গোলাপ আর ঐ নীল আকাশ
 আকাশের ঐ চাঁদ অথবা এই রাত",happiness
"জোছনায় অজানা পথে চলা
 এখানে আছে যে মোর ভালোবাসা
 অদ্ভুত সেই ছেলেটি আবার শুরু করলো হাঁটা
 কালো লম্বা এলোমেলো চুলে চোখ দুটো তার ঢাকা
 হাতে তার একুয়েস্টিক পকেটে হারমোনিকা
 কষ্টে ভরা এ জীবনের বহু গান যে তার শোনা।",nostalgia
"হুংকার ছাড়ি আমি ""বিদ্রোহী, বিদ্রোহী""
 আঁধারকে শেখাই আমি আলোর ঝলকানি
 ছিলাম অসামাজিক, হয়ে গেছি অদ্ভুত
 সোজা বলে কিছু নেই, বাঁকা পথেই চলি",anger
"বিদ্রোহী, বিদ্রোহী ভিন্ন হিসেব
 বুঝবে না এই গান, নেই আক্ষেপ
 ছিলাম অসামাজিক, হয়ে গেছি অদ্ভুত
 মগজের সাথে নেই হৃদয়ের বিচ্ছেদ",anger
"ভাবছো কি ছেড়ে দেবো হঠাৎ এই হালটা?
 ভাবছো কি বন্ধ সামনের পথটা?
 ভাবছো কি থেমে যাবে ধীরে ধীরে গান আমার?
 মনে রেখো তেড়ে এসে পালিয়েছে ক্যান্সার",anger
"মুখোশের চাহিদায় দেহ পুড়ে ছারখার
 ছাই দিয়ে তৈরি এ ফুশফুশ বারবার
 হৃদপিন্ডের কম্পনে ভুমিকম্প
 আমি আজ বিদ্রোহী, নই রণ ক্লান্ত",anger
"তোমার ঐ রাজনীতি আমি নই হারবার
 গান শুনে ঈর্ষায় দেহ পুড়ে ছারখার?
 সেন্সর বোর্ড দিয়ে মেলাই না অংক
 লিখেছি যে গান যার নাম ""নিকৃষ্ট""",anger
"নিম্নগতির ধোঁয়া, নিয়মের জম
 বুঝবে না আমি কী, চোখে বিভ্রম
 ছিলাম অসামাজিক, হয়ে গেছি অদ্ভুত
 মুখোশহীন এই মুখে বদলে না রঙ",anger
"বিদ্রোহী, বিদ্রোহী দেহে ভুমিকম্প
 কাঁচ দিয়ে হিরে কাটি, হিসেবটা ভিন্ন
 ছিলাম অসামাজিক, হয়ে গেছি অদ্ভুত
 নিয়ম বলে মোরে, ""অশান্ত, জঘন্য""",anger
"ভাবছো কি ছেড়ে দিবো হঠাৎ এই হালটা?
 ভাবছো কি বন্ধ সামনের পথটা?
 ভাবছো কি থেমে যাবে ধীরে ধীরে গান আমার?
 মনে রেখো তেড়ে এসে পালিয়েছে ক্যান্সার",anger
"যতবার দাবাবে ততবার উঠবো
 ফিনিক্স পাখির মত আকাশে উড়বো
 আমি আজ একা নই, শ-হাজার-লক্ষ
 বিদ্রোহী, বিদ্রোহী, ''অদ্ভুত'' অসংখ্য",happiness
"তুমি মানে তোমার চলে যাওয়া
 তোমার জন্য সব ভুলে থাকা
 জীবন মানে বাঁচার অভিনয়
 মৃত্যু মানে তোমায় না পাবার ভয়",sadness
"কাঁচের দেয়াল ভাঙার মত
 তোমায় ভাঙি ইচ্ছে মত
 আমার কেন ভালো লাগে না
 কোন কিছু তোমার মত",happiness
"যখন তুমি একা থাকো
 আগুন জ্বলে আলোর মতন
 নিজের কাছেই লুকিয়ে রাখি
 স্বপ্নগুলো তোমার মত",happiness
"মুখটা তুলে আকাশটাতে দেখ আরেকবার
 তোমার সাথে আছি আমি যে চিরকাল
 জোছনার আলো যখন তোমার গায়ে পড়ে
 আমি তখন থাকি তোমার পাশে পাশে",happiness
"মনটা খারাপ করে যখন তুমি একা থাকো
 ভেবো আমি শোনাই তোমায় মজার কোনো গল্প
 চোখের পানি মুছে ফেলে ভেবো একটুক্ষন
 তোমার মাথায় হাতটা বুলাই যখন তখন",sadness
"রাতের আকাশ ভরা তারা হয়তো বা চলে যাবে
 থাকবো হয়ে আমি শুকতারা
 শীতের সকাল গাছের পাতা হয়তো বা ঝরে যাবে
 থাকবো হয়ে আমি নীলাকাশ",nostalgia
"দুপুর বেলায় কবিতার বইটা পড়তে বসে
 চোখের দৃষ্টি যখন তোমার ঝাপসা হয়ে ওঠে
 ভেবো আমি পাশেই আছি তোমার পানে চেয়ে
 কবিতাটায় সুর বসাচ্ছি গানের মত করে",nostalgia
"ভোরের আলোয় পাখির ডাকে ঘুমটা ভাঙ্গে যখন
 বাগানটাতে হাটার সময় আমায় ভেবো তখন
 ঘাসের মাঝে শিশির কনায় তাকিয়ে দেখ তুমি
 আছে সেথায় তোমার সাথে আমার প্রতিচ্ছবি",nostalgia
"রাতের আকাশ ভরা তারা হয়তো বা চলে যাবে
 থাকবো হয়ে আমি শুকতারা
 শীতের সকাল গাছের পাতা হয়তো বা ঝরে যাবে
 থাকবো হয়ে আমি নীলাকাশ
 নীলাকাশ…",nostalgia
"বৃষ্টি নেমেছে আজ আকাশ ভেঙ্গে
 হাটছি আমি মেঠো পথে
 মনের ক্যানভাসে ভাসছে তোমার ছবি
 বহুদিন তোমায় দেখি না যে
 তোমায় নিয়ে কত স্বপ্ন আজ কোথাও হারায়
 পুরোনো গানটার সুর আজ মোরে কাঁদায়",sadness
"তুমি তো দিয়ে ছিলে মোরে কৃষ্ণচূঁড়া ফুল
 আমি তো বসেছিলাম নিয়ে সেই গানের সুর
 তুমি তো দিয়ে ছিলে মোরে কৃষ্ণচূঁড়া ফুল
 চলে গেছ কোথায় আমায় ফেলে বহুদূর…
 বহুদূর……",sadness
"সাদাকালো এ জীবনের মাঝে
 রঙ্গীন ছিলে তুমি শুধু
 তোমায় নিয়ে লেখা কত কবিতায়
 দিয়েছিলাম কত সুর",nostalgia
"আজ আমার হাতের মুঠোয় নেই যে তোমার হাত,
 ভোরের আলো ফুটবে কখন
 ভেবেছি কত রাত",sadness
"যুদ্ধ শেষে আজ ঘরে ফিরে
 দেখি তুমি নেই যে পাশে
 ভেবেছিলাম তুমি থাকবে দাড়িয়ে কৃষ্ণচূঁড়া ফুল হাতে
 তবে কি যুদ্ধে গেলাম তোমায় হারাতে?
 এপিটাফের লেখাগুলো পড়ি ঝাপসা চোখে",sadness
"নীল আকাশের নিচে পাখির কলতানে
 সবুজ ঘাসে হাটছি গীটার নিয়ে
 মাথার ভেতর নতুন একটা সুর ঘুরতে থাকে
 হঠাৎ করেই আকাশ ভেঙ্গে বৃষ্টি নামে",nostalgia
"ফুলের সুবাস বাতাসে ভেসে আসে
 এত সুখের মাঝেও কেনো চোখে পানি আসে
 সকালের এই মিষ্টি আলো কি যে ভাল লাগে
 হঠাৎ করেই আমার ঘুমটা যায় ভেঙ্গে",nostalgia
"চারিদিকে আঁধার অশ্লীল কালো
 স্রষ্টার কাছে মিনতি দেখাও একটু আলো
 দেহের এই অসুখটা বাড়ছে প্রতিদিনি
 জীবনের শেষ ঘন্টাটা যে এখনো বাজতে বাকি",sadness
"আমার যেন মৃত্যু হয় সুর্য উঠার আগে
 সুর্যর কাছে আমার অনেক ঋন আছে
 তাই আমি দেখতে চাই না ঐ সুর্যটাকে
 আমার যেন মৃত্যু হয় সুর্য উঠার আগে",sadness
"দেহের পচনটা বাড়ছে একটু একটু করে
 অসীম এই যন্ত্রণা মোরে বোবা করে রাখে
 সুখ নামের স্বপ্নটা যে অচেনা লাগে
 চলে গেছে কোথায় আমায় একা ফেলে",sadness
"দেখতে আর ভাল লাগে না ঐ নীল আকাশটা
 সারা রাত তাকিয়ে দেখি ঘরের সিলিঙটা
 ইচ্ছে ছিল পৃথিবীটা বদলে দেবার
 ইচ্ছে ছিল গীটার হাতে যুদ্ধে যাবার",sadness
"আমার যেন মৃত্যু হয় সুর্য উঠার আগে
 সুর্যর কাছে আমার অনেক ঋন আছে
 তাই আমি দেখতে চাই না ঐ সুর্যটাকে
 আমার যেন মৃত্যু হয় সুর্য উঠার আগে",sadness
"হে নির্বোধ তুমি যে এখনো একটি শিশু,
 ছেঁড়া কাঁথায় ক্ষুধার্ত, শরীরে ভালো লাগে না কিছু।
 ভরা পেটে নরম বিছানায় স্বপ্ন দেখো তুমি,
 পূর্ণিমার চাঁদটা আমার কাছে ঝলসানো এক রুটি",sadness
"বুকের মাঝে লুকিয়ে আছে আমার ভালোবাসা,
 ছড়িয়ে দেবো আকাশটাতে নতুন এক আশায়।
 কোন একদিন আমার সামনে এসে দাড়াবে সে,
 বলবে সে ভালোবাসি, মুচকি হেসে,
 তোমার এই কথা শুনে যে মোর হাসি পায়।",happiness
"কি দেখেছো তুমি নির্বোধ এই ভালোবাসায়,
 ভালোবাসা যে আসলে প্লাস্টিকের ফুল,
 বর্ণ আছে গন্ধ নেই, করো না এ ভুল।",sadness
"নীল আকাশের নীচে পাখির কলতানে
 সবুজ ঘাসে হাঁটছি গীটারটা নিয়ে
 মাথার ভেতর নতুন একটা সুর ঘুরে
 হঠাৎ করেই আকাশ ভেঙে বৃষ্টি নামে",nostalgia
"ফুলের সুবাস বাতাসে ভেসে আসে
 এত সুখের মাঝেও কেন চোখে পানি আসে
 সকালের এই মিষ্টি আলো কি যে ভালো লাগে
 হঠাৎ করেই যে আমার ঘুমটা যায় ভেঙে",nostalgia
"চারিদিকে আঁধার অশ্লীল কালো
 স্রষ্টার কাছে মিনতি দেখাও একটু আলো
 দেহের এই অসুখটা বাড়ছে প্রতিদিনই
 জীবনের শেষ ঘণ্টাটা বাজতে এখনো বাকী",sadness
